1?2-13 or 0.5000-13 UNC CLASS 1,1?2-13,0.5000-13,UNC,1A,0.0015,0.4985,0.4822,0,0.4485,0.4411,0.0074,0.4069,1B,0.417,0.434,0.45,0.4597,0.0097,0.5
1?2-13 or 0.5000-13 UNC CLASS 2,1?2-13,0.5000-13,UNC,2A,0.0015,0.4985,0.4876,0.4822,0.4485,0.4435,0.004965,0.4069,2B,0.417,0.434,0.45,0.4565,0.0065,0.5
1?2-13 or 0.5000-13 UNC CLASS 3,1?2-13,0.5000-13,UNC,3A,0,0.5,0.4891,0,0.45,0.4463,0.0037,0.4084,3B,0.417,0.4284,0.45,0.4548,0.0048,0.5
1?2-16 or 0.5000-16 UN CLASS 2,1?2-16,0.5000-16,UN,2A,0.0014,0.4986,0.4892,0,0.458,0.4533,0.004678,0.4242,2B,0.432,0.446,0.4594,0.4655,0.0061,0.5
1?2-16 or 0.5000-16 UN CLASS 3,1?2-16,0.5000-16,UN,3A,0,0.5,0.4906,0,0.4594,0.4559,0.0035,0.4256,3B,0.432,0.442,0.4594,0.464,0.0046,0.5
1?2-20 or 0.5000-20 UNF CLASS 1,1?2-20,0.5000-20,UNF,1A,0.0013,0.4987,0.4865,0,0.4662,0.4598,0.0064,0.4392,1B,0.446,0.457,0.4675,0.4759,0.0084,0.5
1?2-20 or 0.5000-20 UNF CLASS 2,1?2-20,0.5000-20,UNF,2A,0.0013,0.4987,0.4906,0,0.4662,0.4619,0.004288,0.4392,2B,0.446,0.457,0.4675,0.4731,0.0056,0.5
1?2-20 or 0.5000-20 UNF CLASS 3,1?2-20,0.5000-20,UNF,3A,0,0.5,0.4919,0,0.4675,0.4643,0.0032,0.4405,3B,0.446,0.4537,0.4675,0.4717,0.0042,0.5
1?2-28 or 0.5000-28 UNEF CLASS 2,1?2-28,0.5000-28,UNEF,2A,0.0011,0.4989,0.4924,0,0.4757,0.472,0.003668,0.4564,2B,0.461,0.47,0.4768,0.4816,0.0048,0.5
1?2-28 or 0.5000-28 UNEF CLASS 3,1?2-28,0.5000-28,UNEF,3A,0,0.5,0.4935,0,0.4768,0.474,0.0028,0.4575,3B,0.461,0.4676,0.4768,0.4804,0.0036,0.5
1?2-32 or 0.5000-32 UN CLASS 2,1?2-32,0.5000-32,UN,2A,0.001,0.499,0.493,0,0.4787,0.4752,0.003475,0.4618,2B,0.466,0.474,0.4797,0.4842,0.0045,0.5
1?2-32 or 0.5000-32 UN CLASS 3,1?2-32,0.5000-32,UN,3A,0,0.5,0.494,0,0.4797,0.4771,0.0026,0.4628,3B,0.466,0.4719,0.4797,0.4831,0.0034,0.5
9?16-12 or 0.5625-12 UNC CLASS 1,9?16-12,0.5625-12,UNC,1A,0.0016,0.5609,0.5437,0,0.5068,0.499,0.0078,0.4617,1B,0.472,0.49,0.5084,0.5186,0.0102,0.5625
9?16-12 or 0.5625-12 UNC CLASS 2,9?16-12,0.5625-12,UNC,2A,0.0016,0.5609,0.5495,0.5437,0.5068,0.5016,0.005225,0.4617,2B,0.472,0.49,0.5084,0.5152,0.0068,0.5625
9?16-12 or 0.5625-12 UNC CLASS 3,9?16-12,0.5625-12,UNC,3A,0,0.5625,0.5511,0,0.5084,0.5045,0.0039,0.4633,3B,0.472,0.4843,0.5084,0.5135,0.0051,0.5625
9?16-16 or 0.5625-16 UN CLASS 2,9?16-16,0.5625-16,UN,2A,0.0014,0.5611,0.5517,0,0.5205,0.5158,0.004725,0.4867,2B,0.495,0.509,0.5219,0.528,0.0061,0.5625
9?16-16 or 0.5625-16 UN CLASS 3,9?16-16,0.5625-16,UN,3A,0,0.5625,0.5531,0,0.5219,0.5184,0.0035,0.4881,3B,0.495,0.5041,0.5219,0.5265,0.0046,0.5625
9?16-18 or 0.5625-18 UNF CLASS 1,9?16-18,0.5625-18,UNF,1A,0.0014,0.5611,0.548,0,0.525,0.5182,0.0068,0.4949,1B,0.502,0.515,0.5264,0.5353,0.0089,0.5625
9?16-18 or 0.5625-18 UNF CLASS 2,9?16-18,0.5625-18,UNF,2A,0.0014,0.5611,0.5524,0,0.525,0.5205,0.004547,0.4949,2B,0.502,0.515,0.5264,0.5323,0.0059,0.5625
9?16-18 or 0.5625-18 UNF CLASS 3,9?16-18,0.5625-18,UNF,3A,0,0.5625,0.5538,0,0.5264,0.523,0.0034,0.4963,3B,0.502,0.5106,0.5264,0.5308,0.0044,0.5625
9?16-20 or 0.5625-20 UN CLASS 2,9?16-20,0.5625-20,UN,2A,0.0013,0.5612,0.5531,0,0.5287,0.5244,0.00428,0.5017,2B,0.508,0.52,0.53,0.5356,0.0056,0.5625
9?16-20 or 0.5625-20 UN CLASS 3,9?16-20,0.5625-20,UN,3A,0,0.5625,0.5544,0,0.53,0.5268,0.0032,0.503,3B,0.508,0.5161,0.53,0.5342,0.0042,0.5625
9?16-24 or 0.5625-24 UNEF CLASS 2,9?16-24,0.5625-24,UNEF,2A,0.0012,0.5613,0.5541,0,0.5342,0.5302,0.00396,0.5117,2B,0.517,0.527,0.5354,0.5405,0.0051,0.5625
9?16-24 or 0.5625-24 UNEF CLASS 3,9?16-24,0.5625-24,UNEF,3A,0,0.5625,0.5553,0,0.5354,0.5324,0.003,0.5129,3B,0.517,0.5244,0.5354,0.5393,0.0039,0.5625
